Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
203703707	JavaScript: The Definitive Guide	1	Flanagan, David	Author			O'Reilly Media (2006), Edition: Fifth, 1032 pages	2006		5			JavaScript: The Definitive Guide by David Flanagan (2006)	Paperback	9.19 inches	2.79105223692 pounds	9.19 inches	2.04 inches	7 inches	9.19 x 7 x 2.04 inches	1032 							SW	Your library	English	English	QA76.J39 F53	[0596101996]	0596101996, 9780596101992		005.2762	Computer programming, programs, data, security > Computing and Information > For Networked Multimedia Systems > Information > Programming for Specific Environments > Web Programming		1	amazon.com books	[2021-07-30]			14163801				
203703728	Joy of Cooking	1	Rombauer, Irma S.	Author			Plume (1992), 864 pages	1985		5			Joy of Cooking by Irma S. Rombauer (1985)	Paper Book		1.5 pounds	8.3 inches	1.5 inches	5.7 inches	8.3 x 5.7 x 1.5 inches	864 								Your library	English	English	TX715 .R75	[0452263328]	0452263328, 9780452263321		641.5	Cooking, cookbooks > Food And Drink > Home and family management > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			14958850				
203703731	Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency	1	DeMarco, Tom	Author			Currency (2002), Edition: Reprint, 256 pages	2002		5			Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency by Tom DeMarco (2002)	Paperback	8 inches	0.42549216566 pounds	8 inches	0.5 inches	5.1 inches	8 x 5.1 x 0.5 inches	256 								Your library	English	English	HD31 .D4222	[0767907698]	0767907698, 9780767907699	Industrial management|Job stress|Risk Management|Risk management|industrial management	658	Management > Management and auxiliary services > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			2579731				
203703745	Blood of the Goddess	1	Schindler, William	Author			Lulu.com (2020), 304 pages	2020		5			Blood of the Goddess by William Schindler (2020)	Paperback	9.02 inches	0.98987555638 pounds	9.01573 inches	0.76 inches	5.98424 inches	9.01573 x 5.98424 x 0.76 inches									Your library	English	English		[1716885620]	1716885620, 9781716885624		813	American fiction > English (North America) > Literature		1	amazon.com books	[2021-07-30]			2357464				
203703746	Leaves of Grass: Authoritative Texts, Prefaces, Whitman on His Art, Criticism (Norton Critical Edition)	1	Whitman, Walt	Author			W. W. Norton & Company (1985), Edition: 2nd Edition, 1008 pages	1985					Leaves of Grass: Authoritative Texts, Prefaces, Whitman on His Art, Criticism (Norton Critical Edition) by Walt Whitman (1985)	Paperback	8.35 x 1.59 inches	1.43741394824 pounds	1.59 inches	5.15 inches	8.35 inches	1.59 x 8.35 x 5.15 inches	1008 								Your library	English	English	PS32011973	[0393093883]	0393093883, 9780393093889		811.3	American poetry > English (North America) > Literature > Middle 19th century 1830â€“1861		1	amazon.com books	[2021-07-30]			11081126				
203703791	The Worst-Case Scenario Survival Handbook (Worst Case Scenario (WORS))	5	Piven, Joshua	Author			Chronicle Books (1999), Edition: 1, 176 pages	1999		3			The Worst-Case Scenario Survival Handbook (Worst Case Scenario (WORS)) by Joshua Piven (1999)	Paperback	7.1 inches	0.4850169764 pounds	7.1 inches	0.6 inches	5.1 inches	7.1 x 5.1 x 0.6 inches	176 								Your library	English	English	GF86 .P58	[0811825558]	0811825558, 9780811825559		613.69	Hygiene of Travel and Exploration > Medicine and health > Personal health and safety > Personal safety and special topics of health > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			19794247				
203703795	Comedy of Desire	1	Peterson, Nils	Author			Ally Press			4			Comedy of Desire by Nils Peterson	Paperback															Your library			PS3566.E76993 C66	[0963872206]	0963872206, 9780963872203		811	American poetry > English (North America) > Literature		1	amazon.com books	[2021-07-30]			4432727				
203703798	Perl in a Nutshell	1	Siever, Ellen	Author			O'Reilly Media (1999), Edition: 1, 674 pages	1999		5			Perl in a Nutshell by Ellen Siever (1999)	Paperback	9 inches	1.763698096 pounds	9 inches	1.33 inches	6 inches	9 x 6 x 1.33 inches	674 							SW	Your library	English	English	QA76.P22 S554	[1565922867]	1565922867, 9781565922860	Perl (Computer program language)	005.133	Computer programming, programs, data, security > Computing and Information > General Programming Languages > Information > Languages > Programming		1	amazon.com books	[2021-07-30]			68298				
203703801	Finding the Way Home: Poems of Awakening and Transformation (Companions for the Journey)	1	Maloney, Dennis	Editor			White Pine Press (2010), Edition: 1, 240 pages	2010					Finding the Way Home: Poems of Awakening and Transformation (Companions for the Journey) by Dennis Maloney (2010)	Paperback															Your library	English	English		[1935210122]	1935210122, 9781935210122		808	By Topic > Literature > Rhetoric and anthologies		1	amazon.com books	[2021-07-30]			10160462				
203703809	What Can I Do?: My Path from Climate Despair to Action	1	Fonda, Jane	Author			Penguin Press (2020), Edition: Illustrated, 352 pages	2020					What Can I Do?: My Path from Climate Despair to Action by Jane Fonda (2020)	Hardcover	9.38 inches	1.84 pounds	9.38 inches	0.98 inches	6.38 inches	9.38 x 6.38 x 0.98 inches									Your library	English	English	QC902 .F66	[0593296222]	0593296222, 9780593296226		363.738	Environmental problems > Environmental problems > Other social problems and services > Pollutants > Social problems and services; associations > Social sciences		1	amazon.com books	[2021-07-30]			25046115				
